part_num	name	class	stock
10166pr0001	Minifig Hair Short Tousled with Silver Headphones Print	Minifig Accessories	8
10166pr0003	Minifig Hair Short Tousled with Black Headphones Print	Minifig Accessories	6
10168pb01	Minifig Hat - Cowboy with Star and Medium Dark Flesh Braid Print	Minifig Accessories	3
10169	Minifig Bag with Handle	Minifig Accessories	6
10170	Pretzel	Minifig Accessories	8
10172	Minifig Trophy Cup Small	Minifig Accessories	2
10173	Minifig Head Cover - Ghost Shroud with Open Mouth	Minifig Accessories	7
10177	RIGHT MINI FIGURE ROBOT LEG	Minifigs	0
10178	Rock 1 x 2 Crystal Stepped	Rock	7
10178pr0001a	Rock Stepped with Dark Green Swamp Gas Print	Rock	9
10178pr0001b	MOONSTONE NO 1	Rock	8
10178pr0002	Rock Stepped with Gold Egyptian Eye of Horus Print	Rock	8
10178pr0003	Rock Stepped with Black Wolf Print [aka Moonstone]	Rock	8
10178pr0004	Rock Stepped with Black Bat Print	Rock	4
10178pr0005	Rock Stepped with Black Zombie Print	Rock	1
10178pr0006	Rock Stepped with White Lightning Print	Rock	0
10178pr0007	Rock 1 x 2 Crystal Stepped with White Ghost Moonstone Print	Rock	8
10179cert	Paper, Certificate of Authenticity for Set 10179 Limited Edition	Non-LEGO	5
10183	Minifig Wings Fairy	Minifig Accessories	8
10187	Minifig Bladed Claw, Spread	Minifig Accessories	4
10187stk01	Sticker for Set 10187 - (63292/4528621)	Non-LEGO	6
10188stk01	Sticker for Set 10188 - (64169/453341)	Non-LEGO	2
10190	Minifig Flipper [Thick]	Minifig Accessories	3
10192stk01	Sticker for Set 10192 - (10192/4528138)	Non-LEGO	8
10193	ADULT FIG. NO. 1 2012 V2	Duplo, Quatro and Primo	3
10197	Technic Pin Connector Hub with 2 Perpendicular Axles	Technic Connectors	2
10199	Plate 4 X 8	Duplo, Quatro and Primo	0
10201	Bracket 1 x 2 - 1 x 4 [Rounded Corners]	Plates Special	6
10202	Tile 6 x 6 with Bottom Tubes	Tiles	7
10212stk01	Sticker for Set 10212 - (88529/4568123)	Non-LEGO	6
10216stk01	Sticker for Set 10216 - (90051/4582442)	Non-LEGO	8
10218	Cardboard Game Board - Life of George	Non-LEGO	2
10219stk01	Sticker for Set 10219	Non-LEGO	3
10220stk01	Sticker for Set 10220 - Sheet 1 (94347/4614415)	Non-LEGO	2
10220stk02	Sticker for Set 10220 - Sheet 2 (94349/4614425)	Non-LEGO	1
10226	Round Sign with 30 Speed Limit Print	Duplo, Quatro and Primo	4
10227	Minifig Head Cover, Swamp Creature with Eye Holes, Fins and Spikes	Minifigs	6
10232stk01	Sticker for Set 10232 - (12949 / 6022692)	Non-LEGO	2
10233stk01	Sticker for Set 10233 - (12953/6022720)	Non-LEGO	9
10235stk01	Sticker for Set 10235	Non-LEGO	6
10240stk01	10240stk01	Non-LEGO	4
10240stk02	10240stk02	Non-LEGO	2
10240stk03	10240stk03	Non-LEGO	0
10247	Plate Special 2 x  2 with 1 Pin Hole [Complete Underside Rib]	Plates Special	0
10252stk01	Sticker Sheet for Set 10252 - 26953/6153756 or 26952/6153754	Non-LEGO	2
10258	Minifig Compound Bow &amp; Arrow	Minifig Accessories	1
102703uk	Pirate Comic - The Golden Medallion	Non-LEGO	8
10288	Technic Axle and Pin Connector Triple [120° Offset]	Technic Connectors	6
10301	Minifig Hair with Bat Ears [Plain]	Other	9
10301pr0001	Minifig Hair with Bat Ears and Medium Dark Flesh Inner Ear Print	Minifigs	2
10301pr0002	Minifig Hair with Bat Ears and Dark Bluish Gray Inner Ear Print	Minifigs	9
10301pr0003	Minifig Hair with Bat Ears and Tan Inner Ear Print	Minifigs	2
10302	Minifig Head Modified Werewolf [Plain]	Other	2
10302pr0001	Minifig Head Modified Werewolf	Minifigs	5
10303	Arm with Wing	Minifigs	1
10304	Coffin 2 x 4 x 6 Lid [Plain]	Other	7
10304pr0001	Coffin 2 x 4 x 6 Lid with White Bat Print [9464 / 9468]	Containers	9
10304pr0002	Coffin 2 x 4 x 6 Lid with Light Bluish Gray Vampire and White Cobwebs Print	Containers	8
10305	Minifig Helmet with Front Prongs [Plain]	Minifig Accessories	1
10305pr0001	Minifig Helmet with Front Prongs and Dark Purple Print (Magneto)	Minifig Accessories	2
1030b1	Set 1030 Activity Booklet 1 - Parts Tray Organizer Card	Non-LEGO	1
1030b10	t 1030 Activity Booklet 10 - Wheels	Non-LEGO	1
1030b11	Set 1030 Activity Booklet 11 - Conveyors	Non-LEGO	2
1030b12	Set 1030 Activity Booklet 12 - Advanced Gearing	Non-LEGO	8
1030b13	Set 1030 Activity Booklet 13 - Pistons	Non-LEGO	9
1030b14	Set 1030 Activity Booklet 14 - Merry-go-round	Non-LEGO	8
1030b15	Set 1030 Activity Booklet 15 - Cranes	Non-LEGO	4
1030b16	Set 1030 Activity Booklet 16 - Lifting with Pulleys	Non-LEGO	0
1030b17	Set 1030 Activity Booklet 17 - Water Wheels	Non-LEGO	2
1030b18	Set 1030 Activity Booklet 18 - Windmills	Non-LEGO	1
1030b19	Set 1030 Activity Booklet 19 - Simple Steering	Non-LEGO	2
1030b2	Set 1030 Activity Booklet 2 - Levers	Non-LEGO	3
1030b20	Set 1030 Activity Booklet 20 - Advanced Steering	Non-LEGO	2
1030b3	Set 1030 Activity Booklet 3 - Supports	Non-LEGO	3
1030b4	Set 1030 Activity Booklet 4 - Lifting &amp; Supporting	Non-LEGO	5
1030b5	Set 1030 Activity Booklet 5 - Pulleys &amp; Belts	Non-LEGO	2
1030b6	Set 1030 Activity Booklet 6 - Gears	Non-LEGO	4
1030b7	Set 1030 Activity Booklet 7 - More Gears	Non-LEGO	4
1030b8	Set 1030 Activity Booklet 8 - Angles	Non-LEGO	3
1030b9	Set 1030 Activity Booklet 9 - Flywheels	Non-LEGO	9
10312	Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout	Windscreens and Fuselage	8
10312pr0003	Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Light Bluish Gray Jedi Starfighter, Two Red Triangles on Top Print	Windscreens and Fuselage	5
10312pr0004	Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and B-wing Starfighter Print	Windscreens and Fuselage	7
10312pr0005	Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Light Bluish Gray Jedi Starfighter, Two Red Triangles on Top Print	Windscreens and Fuselage	5
10314	Brick 1 x 4 x 1 1/3 No Studs, Curved Top, with Raised Inside Support	Bricks Curved	1
1032b1	Set 1032 Activity Booklet 1 - Parts Tray Organizer Card	Non-LEGO	4
1032b10	Set 1032 Activity Booklet 10 - Appliances	Non-LEGO	4
1032b11	Set 1032 Activity Booklet 11 - Right Angle Drives	Non-LEGO	6
1032b12	Set 1032 Activity Booklet 12 - Clamps	Non-LEGO	6
1032b13	Set 1032 Activity Booklet 13 - Mixers &amp; Propellers	Non-LEGO	4
1032b14	Set 1032 Activity Booklet 14 - Valves &amp; Hammers	Non-LEGO	6
1032b15	Set 1032 Activity Booklet 15 - Gearing Down	Non-LEGO	0
1032b16	Set 1032 Activity Booklet 16 - Differentials	Non-LEGO	1
1032b17	Set 1032 Activity Booklet 17 - Cranes	Non-LEGO	1
1032b18	Set 1032 Activity Booklet 18 - Conveyors	Non-LEGO	4
1032b19	Set 1032 Activity Booklet 19 - Drawbridges &amp; Boom Gates	Non-LEGO	9
1032b2	Set 1032 Activity Booklet 2 - Bracing &amp; Connecting	Non-LEGO	2
1032b20	Set 1032 Activity Booklet 20 - Robots	Non-LEGO	0
1032b3	Set 1032 Activity Booklet 3 - Using the 4.5V motor	Non-LEGO	9
1032b4	Set 1032 Activity Booklet 4 - Wheels &amp; Belts	Non-LEGO	5
1032b5	Set 1032 Activity Booklet 5 - Saws	Non-LEGO	9
1032b6	Set 1032 Activity Booklet 6 - Small Machinery	Non-LEGO	5
1032b7	Set 1032 Activity Booklet 7 - Chains	Non-LEGO	6
1032b8	Set 1032 Activity Booklet 8 - Chain Drives	Non-LEGO	3
1032b9	Set 1032 Activity Booklet 9 - Winches	Non-LEGO	2
10395	Arm Cave Troll - Left with Scales Print	Minifigs	6
10396	Arm Cave Troll - Right with Scales Print	Minifigs	0
104	Antenna 6H without Stud Hole	Bars, Ladders and Fences	6
10446	Duplo Brick 2 x 3 with Curved Top and Eye Print on Both Sides	Duplo, Quatro and Primo	1
10509	Horse, Moveable Legs [Plain]	Plants and Animals	7
10509pr0001	Horse, Moveable Legs with Black Bridle and White Blaze Print	Plants and Animals	5
10509pr0002	Horse, Moveable Legs with Gray Bridle Print	Plants and Animals	3
10509pr0003	Horse, Moveable Legs with Black Bridle and Silver Buckles Print	Plants and Animals	1
10509pr0004	Horse, Moveable Legs with Dark Brown Bridle Print	Plants and Animals	9
10509pr0005	Horse, Moveable Legs with Gold Bridle and Decorations Print	Plants and Animals	6
10538	Sticker Sheet for 9498-1	Non-LEGO	6
10555	Minifig Cape Cloth, Narrow with Single Top Hole	Minifig Accessories	9
10563	LID FOR FRAME 2X4X2	Duplo, Quatro and Primo	2
10635	Sticker Sheet for 9473-1	Non-LEGO	5
10636	Sticker for Set 9474 - (10636/6005725)	Non-LEGO	9
10639	Sticker for Set 10226	Non-LEGO	3
10646	Sticker Sheet for 9499-1	Non-LEGO	1
10660c01	Duplo Airplane Landing Gear with Two Wheels Type 2	Duplo, Quatro and Primo	4
10661	Duplo, Plate 2 x 4 with 2 Holes with Locking Ridges	Duplo, Quatro and Primo	7
10677	Torso Bat with Vestigial Minifig Arms	Minifigs	2
10677pr0001	Torso Monster Fighters Bat with Medium Dark Flesh Fur Print / Dark Brown Arms with Wings / Reddish Brown Hands	Minifigs	9
10677pr0002	Torso Bat with Dark Bluish Gray Fur Print / Black Arms with Wings / Black Hands	Minifigs	1
10677pr0003	Torso Batman Bat with Tan Fur Print / Reddish Brown Arms with Wings / Reddish Brown Hands	Minifigs	9
10677pr0004	Torso Bat with Vestigial Minifig Arms, Green and Purple Vein and Dark Orange Fur Print / Magenta Arms with Wings / Olive Green Hands	Minifigs	3
10716	Minifig Pauldron with Pre Vizsla Print	Minifig Accessories	5
107pr0001	Road Sign Cantilever Curved with 'SHELL' Print	Flags, Signs, Plastics and Cloth	0
107pr0002	Road Sign Cantilever Curved with 'POLICE' Print	Flags, Signs, Plastics and Cloth	2
10830	Magnifying Glass with Thick Frame and Solid Handle [Plain]	Other	8
10830pat0001	Magnifying Glass with Thick Frame and Solid Handle with Trans-Clear Lens	Minifig Accessories	4
108681	Paper, Information Note for Parents, 12V Transformer - 108681	Non-LEGO	3
10883	Minifig Skirt Cloth with Diamond Points	Minifig Accessories	6
10884	Plant Leaves 6 x 5 Swordleaf with Clip  (thick open O clip)	Plants and Animals	8
10888	Duplo Turntable 2 x 2	Duplo, Quatro and Primo	7
109	Technic Shock Absorber 9.5L, Piston Rod	Technic Steering, Suspension and Engine	1
10904	Minifig Cape Cloth, Ringwraith Style Tattered	Minifig Accessories	8
10907	Minifig Headgear Helmet Space with Open Face and Top Hinge	Minifig Accessories	0
10908	Minifig Visor Top Hinge [Plain]	Other	9
10908pr0001	Minifig Visor Top Hinge with Gold Face Shield and White Eyes Print	Minifig Accessories	0
10908pr0002	Minifig Visor Top Hinge with Gold Face Shield, Blue Eyes and Silver Chin Print	Minifig Accessories	6
10908pr0003	Minifig Visor Top Hinge with Silver Face Shield and White Eyes Print	Minifig Accessories	6
10908pr0004	Minifig Visor Top Hinge with Silver Face Shield, White Eyes and Dark Red Trim Print	Minifig Accessories	3
10908pr0005	Minifig Visor Top Hinge with Gold Face Shield and White Eyes, without Outline Print	Minifig Accessories	6
10908pr0006	Minifig Visor Top Hinge with Gold Face Shield, Black Lines on Forehead and White Eyes Print	Minifig Accessories	0
10908pr0007	Minifig Visor Top Hinge with Gold Face Shield, Silver Sides, Black Lines on Forehead and White Eyes Print	Minifig Accessories	9
10908pr0010	Minifig Visor Top Hinge with Blue and White Eyes and Gold Face Shield and Black Lines print	Minifig Accessories	6
10908pr0011	VISOR NR. 1 NO. 11	Minifig Accessories	1
10908pr0012	VISOR NR, 1 NO. 12	Minifig Accessories	2
10909	Minifig Helmet with Large Curved Flexible Horns	Minifig Accessories	2
1090ba	Set 1090 Activity Booklet A - Ferris Wheel	Non-LEGO	4
1090bbc	Set 1090 Activity Booklet B / C - Automatic Door / Washing Machine	Non-LEGO	7
1090bd	Set 1090 Activity Booklet D - Conveyer Belt	Non-LEGO	0
1090be	Set 1090 Activity Booklet E - Robot Arm	Non-LEGO	6
1090boc	Set 1090 Activity Booklet - Parts Tray Organizer Card	Non-LEGO	6
10916	Electric Cable USB for Mindstorms EV3 (2 meter)	Power Functions, Mindstorms and Electric	4
10928	Technic Gear 8 Tooth [Reinforced]	Technic Gears	1
1092ba	Set 1092 Activity Booklet A - Plotter	Non-LEGO	6
1092bbcd	Set 1092 Activity Booklet B / C / D - Traffic Sign, Scale &amp; Metrics	Non-LEGO	0
1092be	Set 1092 Activity Booklet E - Crane	Non-LEGO	0
1092boc	Set 1092 Activity Booklet - Parts Tray Organizer Card	Non-LEGO	8
1093	Lego Computer Interface A User's Guide (12059)	Non-LEGO	0
10a	Baseplate 24 x 32 with Squared Corners	Baseplates	4
10b	Baseplate 24 x 32 with Rounded Corners	Baseplates	0
10p01	Baseplate 24 x 32 with Dots Print [363 / 555]	Baseplates	6
10p02	Baseplate 24 x 32 with Dots Print [354 / 560-2]	Baseplates	1
10p03	Baseplate 24 x 32 with Dots Print [358]	Baseplates	8
10p04	Baseplate 24 x 32 with Dots Print [345]	Baseplates	9
10p05	Baseplate 24 x 32 with Dots Print [545-2 / 351]	Baseplates	8
10p06	Baseplate 24 x 32 with Dots Print [149]	Baseplates	6
10p07	Baseplate 24 x 32 with Dots Print [346-2]	Baseplates	8
10p08	Baseplate 24 x 32 with Dots Print [353]	Baseplates	7
10p0a	Baseplate 24 x 32 with Dots Print [1601]	Baseplates	0
10p0b	Baseplate 24 x 32 with Dots Prints [361]	Baseplates	4
11002	Plate Special 2 x 2 with Wheels Holder Wide [Reinforced Underside]	Plates Special	4
11010	Minifig Ring 1 x 1	Minifig Accessories	7
11055	Flag 2 x 2 Square [Thick Clips]	Flags, Signs, Plastics and Cloth	7
11055pr0004	Flag 2 x 2 Square with Gold 'Captains Daughter' and Waving Minifig Print	Flags, Signs, Plastics and Cloth	8
11055pr0005	Flag 2 x 2 with AT-ST Print [4486 / 9679]	Flags, Signs, Plastics and Cloth	6
11055pr0006	Flag 2 x 2 Square with Silver Fangs and Dark Red Print [70004]	Flags, Signs, Plastics and Cloth	6
11055pr0007	Flag 2 x 2 Square with Gold Crossed Cutlasses on Dark Blue Background Print	Flags, Signs, Plastics and Cloth	9
11055pr0009	Flag 2 x 2 Square with Skull and Crossed Cutlasses (Jolly Roger) Print	Flags, Signs, Plastics and Cloth	2
11055pr0010	Flag 2 x 2 Square with Imperial Soldier Black Symbol over White Cross on Blue Background with Yellow Border Print	Flags, Signs, Plastics and Cloth	4
11055pr0011	Flag 2 x 2 Square with Skull and Crossbones (Jolly Roger) without Lower Jaw Print	Flags, Signs, Plastics and Cloth	0
11055pr0012	Flag 2 x 2 Square with Gold 'Toy Shop' and Nutcracker Drummer on Wood Background Print	Flags, Signs, Plastics and Cloth	0
11055pr0013	FLAG WITH 2 HOLDERS &quot;NO.13&quot;	Flags, Signs, Plastics and Cloth	5
11055pr0014	FLAG W/ 2 HOLDERS Classic Space Print	Flags, Signs, Plastics and Cloth	7
11055pr02	Flag 2 x 2 Square with Chequered Print [Thick Clips]	Flags, Signs, Plastics and Cloth	7
11062	Lamp Post 2 x 2 x 7 with 4 Base Flutes	Bars, Ladders and Fences	5
11089	Barb Large Flexible [Claw, Horn]	Plants and Animals	0
11090	Bar Holder with Clip	Bars, Ladders and Fences	3
11091	Wing 9L with Stylized Feathers	Plants and Animals	7
11092	Gorilla Fist	Minifig Accessories	3
11094	Wheel Hard Plastic, Treaded with 7 Pin Holes and 6 Small Holes	Wheels and Tyres	2
11096	Minifig Axe Head - Twin Bladed	Minifig Accessories	6
11097	Minifig Shoulder Pads with 1 Stud on Front, 2 Studs on Back	Minifig Accessories	1
11098	Minifig Armour - Breastplate with Shoulder Pads, 1 Front Stud, 2 Back Studs	Minifig Accessories	9
11100	Minifig Feathered Wing	Minifig Accessories	5
11101	Minifig Chima Animal Tail with Neck Bracket [Plain]	Other	4
11101pat0001	Minifig Chima Animal Tail with Neck Bracket and Marbled Medium Dark Flesh Pattern	Minifigs	7
11101pat0002	Minifig Chima Animal Tail with Neck Bracket and Marbled White Pattern	Minifigs	0
11103	Minifig Sword - Double Blade with Bar Holder [Chi Sword]	Minifig Accessories	3
11106	Minifig Hammer Head	Minifig Accessories	2
11107	Minifig Sword Serrated with Bar Holder	Minifig Accessories	3
11110	Fly Wheel Fairing Lion Shape	Transportation - Land	7
11110pr0001	Fly Wheel Fairing Lion Shape with Gold and Blue Feathers Print (70102)	Transportation - Land	1
11110pr0002	Fly Wheel Fairing Lion Shape with Silver and Dark Brown Print (70011)	Transportation - Land	8
11110pr0003	Fly Wheel Fairing Lion Shape with Fangs and Hoses Print (70113)	Transportation - Land	6
11110pr0004	Fly Wheel Fairing Lion Shape with Gold and Dark Red Print (70115)	Transportation - Land	2
11110pr0005	Fly Wheel Fairing Lion Shape with Gray Mane and Dark Blue Feathers Print (70108)	Transportation - Land	2
11110pr0006	Fly Wheel Fairing Lion Shape with Gold Armor and Red Flames Print (70140)	Transportation - Land	5
11111	Fly Wheel Fairing Bird Shape	Transportation - Land	5
11111pr0001	Fly Wheel Fairing Bird Shape with Silver Plates Print (70100)	Transportation - Land	1
11111pr0002	Fly Wheel Fairing Bird Shape with Eagle and Gold Ornament Print (70101)	Transportation - Land	6
11111pr0003	Fly Wheel Fairing Bird Shape with Eagle and Silver Ornament Print (70105)	Transportation - Land	9
11111pr0004	Fly Wheel Fairing Bird Raptor Shape with White Scaled Armor Print (70139)	Transportation - Land	3
11112	Fly Wheel Fairing Crocodile Shape	Transportation - Land	3
11112pr0001	Fly Wheel Fairing Crocodile Shape with Gold and White Crocodile Print (70103)	Transportation - Land	9
11112pr0002	Fly Wheel Fairing Crocodile Shape with Reddish Brown and White Crocodile Print (70115)	Transportation - Land	3
11112pr0003	Fly Wheel Fairing Crocodile Shape with Silver Crocodile Print (70112)	Transportation - Land	9
11113	Fly Wheel Fairing Wolf Shape	Transportation - Land	0
11113pr0001	Fly Wheel Fairing Wolf Shape with Fangs and Black and White Print (70011)	Transportation - Land	0
11113pr0002	Fly Wheel Fairing Wolf Shape with Fangs and Silver and White Print (70113)	Transportation - Land	7
11113pr0003	Fly Wheel Fairing Wolf Shape with White Patches and Brown Stitch Markings Print (70111)	Transportation - Land	5
11113pr0004	Fly Wheel Fairing Wolf Shape with White Checkerboard and Skunk Markings Print (70107)	Transportation - Land	1
11113pr0005	Fly Wheel Fairing Wolf Shape with Silver Scaled Armor, Chains and Fangs Print (70137)	Transportation - Land	8
11122	Fly Wheel Fairing Gorilla Shape	Transportation - Land	9
11122pr0001	Fly Wheel Fairing Gorilla Shape with Silver Markings and Leaves Print (70110)	Transportation - Land	5
11122pr0002	Fly Wheel Fairing Gorilla Shape with Dark Azure and Silver Markings and Leaves Print (70109)	Transportation - Land	3
11122pr0003	Fly Wheel Fairing Gorilla Shape with Silver Scaled Armor Print (70136)	Transportation - Land	7
11126	Rip Cord Flexible with Handle	Tools	0
11127	Rock 1 x 1 Crystal 4 Point	Rock	7
11129	Minifig Mask Chima Lion [Plain]	Other	6
11129pr0001	Minifig Mask Chima Lion with Tan Face and Dark Blue Headpiece Print	Minifig Accessories	8
11129pr0002	Minifig Mask Lion with Tan Face, Gray and White Beard and Gold Crown Print	Minifigs	2
11129pr0003	Minifig Mask Chima Lion with Tan Muzzle, Black Face Details and Gold Crown Print	Minifig Accessories	0
11129pr0004	Minifig Mask Chima Lion with Dark Tan Face and Dark Blue Headpiece with Gold Circles Print	Minifig Accessories	8
11129pr0005	Minifig Mask Chima Lion with Tan Face, Crooked Smile and Dark Blue Headpiece Print	Minifig Accessories	2
11129pr0006	Minifigure Mask Chima Lion with Face and Lion Crest Print [Lavertus]	Minifig Accessories	0
11129pr0007	Minifig Mask Lion with Tan Face and Gold Crown Small Print	Minifig Accessories	4
11129pr0008	Minifig Mask Lion with Tan Face and Crooked Frown Print	Minifig Accessories	1
11133	Duplo, Brick 2 x 4 x 2 Arch	Duplo, Quatro and Primo	7
11133pb01	Duplo, Brick 2 x 4 x 2 Arch with Blue Half Circles Print	Duplo, Quatro and Primo	7
11145	Electric Mindstorms EV3 Cable 25 cm	Power Functions, Mindstorms and Electric	9
11153	Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges]	Bricks Curved	5
11153pr0001	Slope Curved 4 x 1 No Studs with Cinderella Scrollwork Print	Bricks Curved	2
11153pr0002	Slope Curved 4 x 1 No Studs with Gold Entwined Vines Print	Bricks Printed	5
11156	Minifig Sword - Elven Warrior	Minifig Accessories	4
11164	Hero Factory Brain	Bionicle, Hero Factory and Constraction	1
11164pat01	Hero Factory Brain with Red Centre	Bionicle, Hero Factory and Constraction	1
11164pat02	Hero Factory Brain with Glow in the Dark Centre and Marbled Yellow Pattern	Bionicle, Hero Factory and Constraction	1
11169	Duplo Brick 2 x 2 x 1 1/2 with Curve	Duplo, Quatro and Primo	9
11170	Brick 2 x 2 x 1 1/2 - Curved Top	Duplo, Quatro and Primo	6
11187	Minifig Snowshoe [Short Front End]	Minifig Accessories	4
11197	Duplo, Brick 2 x 6 x 2 Curved with 2 x 2 Cutout on Bottom	Duplo, Quatro and Primo	6
11198	Arch 2 x 4 x 2	Duplo, Quatro and Primo	9
112	Car Air Horn bar, chrome, cone, exhaust, model, model team, pipe, team, town	Other	7
11203	Tile Special 2 x 2 Inverted	Tiles Special	1
11203pr0001	FLAT TILE 2X2 INV with keypad print	Tiles Printed	6
11203pr0005	Tile Special 2 x 2 Inverted with 4 Orange, Red and Yellow Rounded Squares Print	Tiles Special	8
11203pr0006	Tile Special 2 x 2 Inverted with Red Haired Dwarf on Blue Background Print	Tiles Special	1
11203pr0007	Tile Special 2 x 2 Inverted with Thorin Oakenshield on Blue Background Print	Tiles Special	9
11203pr0008	Tile Special 2 x 2 Inverted with Frodo Baggins on Red Background Print	Tiles Special	3
11203pr0009	Tile Special 2 x 2 Inverted with Bilbo Baggins on Red Background Print	Tiles Special	5
11203pr0010	Tile Special 2 x 2 Inverted with Fëanorian 'G' Rune on Green Planks Print	Tiles Special	0
11203pr0011	Tile Special 2 x 2 Inverted with Food and Drink on Yellow Background Print	Tiles Special	7
11203pr0012	Tile Special 2 x 2 Inverted with White dots on gift paper and Medium Lavender ribbon and bow print	Tiles Special	2
